rank,frequency,lemma,indonesia,lemma_length,kanji_ratio,cluster,kanji_category
1,41309.5,の,.,1,0.0,3,Non-Kanji
2,23509.54,に,!,1,0.0,3,Non-Kanji
3,22216.8,は,Huh.,1,0.0,3,Non-Kanji
4,20431.93,て,.,1,0.0,3,Non-Kanji
5,20326.59,を,Mm-hmm.,1,0.0,3,Non-Kanji
6,20110.69,が,!,1,0.0,3,Non-Kanji
7,19235.55,だ,Itu saja.,1,0.0,3,Non-Kanji
8,17292.36,た,Mm-hmm.,1,0.0,3,Non-Kanji
9,16841.17,する,Pasti.,2,0.0,3,Non-Kanji
10,15095.29,と,Dan...,1,0.0,3,Non-Kanji
11,9604.49,ます,.,2,0.0,0,Non-Kanji
12,9537.75,で,Jadi...,1,0.0,0,Non-Kanji
13,8189.0,ない,Tidak.,2,0.0,0,Non-Kanji
14,8140.22,いる,Ya.,2,0.0,0,Non-Kanji
15,7900.34,も,Tidak.,1,0.0,0,Non-Kanji
16,6766.19,ある,Ya.,2,0.0,0,Non-Kanji
17,6001.95,・,.,1,0.0,0,Non-Kanji
18,5780.62,です,Itu saja.,2,0.0,0,Non-Kanji
19,5690.07,「,"""",1,0.0,0,Non-Kanji
20,5672.68,」,Satu.,1,0.0,0,Non-Kanji
21,5451.05,こと,"Oh, Tuhan.",2,0.0,0,Non-Kanji
22,5444.29,e,e,1,0.0,0,Non-Kanji
23,4744.78,か,"Oh, Tuhan.",1,0.0,0,Non-Kanji
24,4590.55,o,O.,1,0.0,0,Non-Kanji
25,4553.18,a,Pilih jalan ke jalan.,1,0.0,0,Non-Kanji
26,4248.5,t,t,1,0.0,0,Non-Kanji
27,4193.98,なる,Ya.,2,0.0,0,Non-Kanji
28,4188.45,れる,Aku sudah selesai.,2,0.0,0,Non-Kanji
29,4055.86,から,Dari,2,0.0,0,Non-Kanji
30,3689.19,）,),1,0.0,0,Non-Kanji
31,3652.9,（,(,1,0.0,0,Non-Kanji
32,3430.63,i,i,1,0.0,0,Non-Kanji
33,3375.51,n,t,1,0.0,0,Non-Kanji
34,2968.67,r,r,1,0.0,0,Non-Kanji
35,2834.08,s,s,1,0.0,0,Non-Kanji
36,2702.29,ん,Hmm.,1,0.0,0,Non-Kanji
37,2691.51,よう,Hei.,2,0.0,0,Non-Kanji
38,2496.04,いう,Apa?,2,0.0,0,Non-Kanji
39,2463.71,う,Mm-hmm.,1,0.0,0,Non-Kanji
40,2415.25,人,Orang-orang.,1,1.0,0,Kanji
41,2275.62,m,m,1,0.0,0,Non-Kanji
42,2255.67,この,Lihat ini.,2,0.0,0,Non-Kanji
43,2190.45,という,Apa maksudmu?,3,0.0,1,Non-Kanji
44,2131.88,思う,Kurasa.,2,0.5,0,Kanji
45,2127.42,その,Um...,2,0.0,0,Non-Kanji
46,2108.52,l,Aku...,1,0.0,0,Non-Kanji
47,2057.33,的,. . .,1,1.0,0,Kanji
48,1984.31,c,c,1,0.0,0,Non-Kanji
49,1950.65,年,Tahun,1,1.0,0,Kanji
50,1942.04,日,Hari,1,1.0,0,Kanji
51,1923.23,！,!,1,0.0,0,Non-Kanji
52,1806.37,h,j,1,0.0,0,Non-Kanji
53,1769.37,私,Aku.,1,1.0,0,Kanji
54,1757.94,もの,Apa itu?,2,0.0,0,Non-Kanji
55,1734.3,や,Hei.,1,0.0,0,Non-Kanji
56,1732.41,ば,. . .,1,0.0,0,Non-Kanji
57,1641.84,d,d,1,0.0,0,Non-Kanji
58,1516.78,？,!,1,0.0,0,Non-Kanji
59,1515.66,p,p,1,0.0,0,Non-Kanji
60,1479.29,それ,Itu saja.,2,0.0,0,Non-Kanji
61,1459.64,u,Jadi mari kita lakukan itu.,1,0.0,0,Non-Kanji
62,1451.45,者,Siapa?,1,1.0,0,Kanji
63,1437.45,できる,"Ya, kau bisa.",3,0.0,1,Non-Kanji
64,1428.85,これ,Ini.,2,0.0,0,Non-Kanji
65,1399.05,#,#,1,0.0,0,Non-Kanji
66,1362.46,|,Aku tidak tahu.,1,0.0,0,Non-Kanji
67,1263.36,言う,Aku akan memberitahu Anda.,2,0.5,0,Kanji
68,1248.2,b,b,1,0.0,0,Non-Kanji
69,1245.81,S,S,1,0.0,0,Non-Kanji
70,1245.62,y,y,1,0.0,0,Non-Kanji
71,1238.3,くる,Dia datang.,2,0.0,0,Non-Kanji
72,1193.14,月,Bulan,1,1.0,0,Kanji
73,1187.18,C,C,1,0.0,0,Non-Kanji
74,1186.32,として,Mari kita lakukan.,3,0.0,1,Non-Kanji
75,1174.8,さん,Hei.,2,0.0,0,Non-Kanji
76,1164.49,T,T.,1,0.0,0,Non-Kanji
77,1159.85,A,A,1,0.0,0,Non-Kanji
78,1149.99,：,:,1,0.0,0,Non-Kanji
79,1136.97,まで,Untuk,2,0.0,0,Non-Kanji
80,1126.11,たい,"Oh, Tuhan.",2,0.0,0,Non-Kanji
81,1112.01,g,g,1,0.0,0,Non-Kanji
82,1110.21,w,w,1,0.0,0,Non-Kanji
83,1100.39,など,Aku tidak tahu.,2,0.0,0,Non-Kanji
84,1092.65,k,k,1,0.0,0,Non-Kanji
85,1089.02,中,Tengah,1,1.0,0,Kanji
86,1087.64,P,P,1,0.0,0,Non-Kanji
87,1077.28,られる,Aku akan ke sana.,3,0.0,1,Non-Kanji
88,1070.51,お,Oh.,1,0.0,0,Non-Kanji
89,1022.92,ね,Hei.,1,0.0,0,Non-Kanji
90,1022.88,，,",",1,0.0,0,Non-Kanji
91,1015.61,…,...,1,0.0,0,Non-Kanji
92,1000.99,へ,Hei.,1,0.0,0,Non-Kanji
93,982.69,見る,Lihat.,2,0.5,0,Kanji
94,980.59,ため,Ini untukmu.,2,0.0,0,Non-Kanji
95,963.62,てる,Ya.,2,0.0,0,Non-Kanji
96,948.8,M,M,1,0.0,0,Non-Kanji
97,940.51,そう,Ya.,2,0.0,0,Non-Kanji
98,925.92,日本,Jepang,2,1.0,0,Kanji
99,924.53,おる,Ya.,2,0.0,0,Non-Kanji
100,915.56,一,Satu.,1,1.0,0,Kanji
101,898.33,ので,Maafkan aku.,2,0.0,0,Non-Kanji
102,895.11,いく,Ini dia.,2,0.0,0,Non-Kanji
103,885.3,だけ,Hanya...,2,0.0,0,Non-Kanji
104,877.59,何,Apa?,1,1.0,0,Kanji
105,875.29,よ,Hei.,1,0.0,0,Non-Kanji
106,873.44,I,Aku...,1,0.0,0,Non-Kanji
107,840.65,自分,Aku.,2,1.0,0,Kanji
108,839.58,しまう,Aku sudah selesai.,3,0.0,1,Non-Kanji
109,838.17,について,Tentang.,4,0.0,1,Non-Kanji
110,834.18,R,R,1,0.0,0,Non-Kanji
111,829.72,方,Siapa?,1,1.0,0,Kanji
112,825.32,E,E,1,0.0,0,Non-Kanji
113,819.66,時,Waktu,1,1.0,0,Kanji
114,799.41,D,D,1,0.0,0,Non-Kanji
115,791.48,ぬ,Tidak.,1,0.0,0,Non-Kanji
116,782.05,問題,Masalahnya,2,1.0,0,Kanji
117,772.03,考える,Kurasa.,3,0.3333333333333333,0,Kanji
118,766.23,O,O.,1,0.0,0,Non-Kanji
119,748.27,せる,Aku akan melakukannya.,2,0.0,0,Non-Kanji
120,737.44,また,Aku akan lihat nanti.,2,0.0,0,Non-Kanji
121,734.08,N,N,1,0.0,0,Non-Kanji
122,725.64,B,B,1,0.0,0,Non-Kanji
123,716.75,f,f,1,0.0,0,Non-Kanji
124,705.48,『,',1,0.0,0,Non-Kanji
125,703.35,今,Sekarang.,1,1.0,0,Kanji
126,702.19,』,',1,0.0,0,Non-Kanji
127,699.98,みる,Aku akan lihat.,2,0.0,0,Non-Kanji
128,698.53,L,L,1,0.0,0,Non-Kanji
129,695.44,でも,Tapi...,2,0.0,0,Non-Kanji
130,675.63,やる,Aku akan melakukannya.,2,0.0,0,Non-Kanji
131,661.99,わけ,Kenapa?,2,0.0,0,Non-Kanji
132,650.23,ござる,"Ya, Pak.",3,0.0,1,Non-Kanji
133,642.6,たち,. . .,2,0.0,0,Non-Kanji
134,638.75,ところ,Hei.,3,0.0,1,Non-Kanji
135,633.91,．,Maafkan aku.,1,0.0,0,Non-Kanji
136,627.78,さ,Aku tidak tahu.,1,0.0,0,Non-Kanji
137,615.98,いい,Oke.,2,0.0,0,Non-Kanji
138,596.98,って,Apa?,2,0.0,0,Non-Kanji
139,590.87,前,Sebelumnya,1,1.0,0,Kanji
140,585.7,第,"Tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak.",1,1.0,0,Kanji
141,580.14,たり,Aku tidak tahu.,2,0.0,0,Non-Kanji
142,577.58,性,Seks.,1,1.0,0,Kanji
143,568.04,行く,Mari kita pergi.,2,0.5,0,Kanji
144,563.69,より,"Tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak, tidak,",2,0.0,0,Non-Kanji
145,561.3,そして,Dan...,3,0.0,1,Non-Kanji
146,560.8,けど,Tapi...,2,0.0,0,Non-Kanji
147,559.79,どう,Hei.,2,0.0,0,Non-Kanji
148,551.97,出る,Aku keluar.,2,0.5,0,Kanji
149,550.77,時間,Waktu,2,1.0,0,Kanji
150,549.7,会,Rapat,1,1.0,0,Kanji
151,537.33,書く,Menulis,2,0.5,0,Kanji
152,534.03,円,Lingkaran,1,1.0,0,Kanji
153,533.8,二,Dua.,1,1.0,0,Kanji
154,533.04,し,Shh.,1,0.0,0,Non-Kanji
155,527.77,場合,Jika kau tidak keberatan.,2,1.0,0,Kanji
156,526.2,持つ,Ambillah.,2,0.5,0,Kanji
157,515.52,必要,DIPERLUKAN,2,1.0,0,Kanji
158,508.95,情報,Informasi,2,1.0,0,Kanji
159,501.01,○,○,1,0.0,0,Non-Kanji
160,495.56,しかし,Tapi...,3,0.0,1,Non-Kanji
161,492.98,F,F,1,0.0,0,Non-Kanji
162,484.8,v,v,1,0.0,0,Non-Kanji
163,481.44,とき,Ketika,2,0.0,0,Non-Kanji
164,480.73,コメント,Komentar,4,0.0,1,Non-Kanji
165,478.1,化,Entrepreneurisasi,1,1.0,0,Kanji
166,471.03,上,Puncak,1,1.0,0,Kanji
167,465.43,事,Ini masalah.,1,1.0,0,Kanji
168,464.3,W,W,1,0.0,0,Non-Kanji
169,464.22,使う,Gunakan,2,0.5,0,Kanji
170,462.43,行う,Aku akan melakukannya.,2,0.5,0,Kanji
171,459.92,な,Hei.,1,0.0,0,Non-Kanji
172,455.18,ご,Hei.,1,0.0,0,Non-Kanji
173,453.58,話,Bicara,1,1.0,0,Kanji
174,453.14,くれる,Aku akan memberikannya kepada Anda.,3,0.0,1,Non-Kanji
175,451.09,U,U,1,0.0,0,Non-Kanji
176,446.16,ながら,Aku tidak tahu.,3,0.0,1,Non-Kanji
177,442.95,よい,Bagus.,2,0.0,0,Non-Kanji
178,442.7,H,H,1,0.0,0,Non-Kanji
179,441.97,本,Sebuah buku.,1,1.0,0,Kanji
180,432.09,じゃ,Bye.,2,0.0,0,Non-Kanji
181,430.8,ここ,Ini.,2,0.0,0,Non-Kanji
182,429.1,分,men,1,1.0,0,Kanji
183,426.14,十,10,1,1.0,0,Kanji
184,425.43,目,EYE,1,1.0,0,Kanji
185,424.65,多い,Banyak.,2,0.5,0,Kanji
186,421.45,知る,Aku tahu.,2,0.5,0,Kanji
187,420.74,■,▪,1,0.0,0,Non-Kanji
188,418.19,G,G,1,0.0,0,Non-Kanji
189,412.67,今日,Hari ini,2,1.0,0,Kanji
190,411.1,良い,Bagus.,2,0.5,0,Kanji
191,408.98,関係,Hubungan,2,1.0,0,Kanji
192,404.21,委員,Komite,2,1.0,0,Kanji
193,403.3,後,Setelah,1,1.0,0,Kanji
194,401.69,かも,Mungkin.,2,0.0,0,Non-Kanji
195,398.34,家,Rumah,1,1.0,0,Kanji
196,394.48,そういう,Ya.,4,0.0,1,Non-Kanji
197,392.28,聞く,Dengar.,2,0.5,0,Kanji
198,389.5,世界,Dunia,2,1.0,0,Kanji
199,389.34,気,Gugup.,1,1.0,0,Kanji
200,383.39,点,Poin,1,1.0,0,Kanji
201,382.65,万,"Oh, Tuhan.",1,1.0,0,Kanji
202,381.6,べし,Mari kita pergi.,2,0.0,0,Non-Kanji
203,381.48,】,Ini hanya masalah waktu.,1,0.0,0,Non-Kanji
204,380.55,【,Ini hanya masalah waktu.,1,0.0,0,Non-Kanji
205,379.18,もう,Sial.,2,0.0,0,Non-Kanji
206,379.03,わかる,Aku tahu.,3,0.0,1,Non-Kanji
207,377.46,バック,Mundur,3,0.0,1,Non-Kanji
208,375.34,社会,Masyarakat,2,1.0,0,Kanji
209,375.02,読む,Baca,2,0.5,0,Kanji
210,372.01,入る,Aku ikut.,2,0.5,0,Kanji
211,371.13,〜,"Oh, Tuhan.",1,0.0,0,Non-Kanji
212,369.72,来る,Dia datang.,2,0.5,0,Kanji
213,364.89,トラック,Trek,4,0.0,1,Non-Kanji
214,360.33,によって,Itulah yang saya bicarakan.,4,0.0,1,Non-Kanji
215,360.12,仕事,Kerja.,2,1.0,0,Kanji
216,358.01,同じ,Sama saja.,2,0.5,0,Kanji
217,355.9,数,% 1 petameters,1,1.0,0,Kanji
218,354.41,記事,ANIMAL,2,1.0,0,Kanji
219,346.64,いただく,Aku akan mengambilnya.,4,0.0,1,Non-Kanji
220,344.83,彼,Dia.,1,1.0,0,Kanji
221,344.38,大,Besar,1,1.0,0,Kanji
222,343.9,国,Negara,1,1.0,0,Kanji
223,336.74,等,"Hey, hey, hey, hey, hey, hey, hey, hey, hey.",1,1.0,0,Kanji
224,330.72,くださる,Aku akan memberikannya kepada Anda.,4,0.0,1,Non-Kanji
225,330.49,_,_,1,0.0,0,Non-Kanji
226,329.46,回,Kekambuhan,1,1.0,0,Kanji
227,328.05,三,Tiga.,1,1.0,0,Kanji
228,326.9,とか,Atau...,2,0.0,0,Non-Kanji
229,324.74,君,Kau.,1,1.0,0,Kanji
230,324.66,法,Hukum,1,1.0,0,Kanji
231,323.97,K,K,1,0.0,0,Non-Kanji
232,321.75,意味,Artinya,2,1.0,0,Kanji
233,319.16,力,Daya,1,1.0,0,Kanji
234,319.0,以上,Itu saja.,2,1.0,0,Kanji
235,318.59,J,J.,1,0.0,0,Non-Kanji
236,313.99,会社,Perusahaan,2,1.0,0,Kanji
237,310.14,j,Aku tidak tahu.,1,0.0,0,Non-Kanji
238,310.05,よる,Itulah yang saya bicarakan.,2,0.0,0,Non-Kanji
239,306.4,ほど,Berapa banyak?,2,0.0,0,Non-Kanji
240,305.97,そんな,Tidak.,3,0.0,1,Non-Kanji
241,305.03,人間,Manusia.,2,1.0,0,Kanji
242,304.93,★,Ini hanya masalah waktu.,1,0.0,0,Non-Kanji
243,303.63,V,V,1,0.0,0,Non-Kanji
244,298.63,現在,Sekarang,2,1.0,0,Kanji
245,296.6,作る,Aku akan berhasil.,2,0.5,0,Kanji
246,292.74,企業,CENTRAL,2,1.0,0,Kanji
247,292.72,氏,Mr. White.,1,1.0,0,Kanji
248,288.24,ちょっと,Hei.,4,0.0,1,Non-Kanji
249,287.31,間,Interval,1,1.0,0,Kanji
250,286.66,可能,Mungkin,2,1.0,0,Kanji
251,285.81,感じる,Aku bisa merasakannya.,3,0.3333333333333333,0,Kanji
252,285.39,出す,Aku akan mengeluarkannya.,2,0.5,0,Kanji
253,285.14,研究,Belajar,2,1.0,0,Kanji
254,282.27,投稿,Post,2,1.0,0,Kanji
255,281.68,他,Lainnya,1,1.0,0,Kanji
256,280.77,アメリカ,AS,4,0.0,1,Non-Kanji
257,280.21,しれる,Aku bisa.,3,0.0,1,Non-Kanji
258,278.23,けれども,Tapi...,4,0.0,1,Non-Kanji
259,276.63,リンク,Taut,3,0.0,1,Non-Kanji
260,276.54,今回,Kali ini.,2,1.0,0,Kanji
261,274.0,いたす,Aku akan segera kembali.,3,0.0,1,Non-Kanji
262,273.68,高い,Tinggi,2,0.5,0,Kanji
263,273.29,す,Mm-hmm.,1,0.0,0,Non-Kanji
264,271.58,次,Berikutnya.,1,1.0,0,Kanji
265,269.14,ら,Hei.,1,0.0,0,Non-Kanji
266,267.39,言葉,Kata,2,1.0,0,Kanji
267,265.75,こういう,Seperti ini.,4,0.0,1,Non-Kanji
268,263.75,おく,Simpan,2,0.0,0,Non-Kanji
269,263.45,僕,Aku.,1,1.0,0,Kanji
270,262.13,出来る,"Ya, kau bisa.",3,0.6666666666666666,0,Kanji
271,261.99,受ける,Menerima,3,0.3333333333333333,0,Kanji
272,261.92,●,●,1,0.0,0,Non-Kanji
273,260.39,x,x,1,0.0,0,Non-Kanji
274,259.69,経済,EKONOMI,2,1.0,0,Kanji
275,256.89,あなた,Kau.,3,0.0,1,Non-Kanji
276,256.71,手,Tangan.,1,1.0,0,Kanji
277,256.65,もらう,Aku akan mengambilnya.,3,0.0,1,Non-Kanji
278,256.52,そこ,Disana.,2,0.0,0,Non-Kanji
279,255.07,による,Tergantung.,3,0.0,1,Non-Kanji
280,255.0,最近,Baru-baru ini,2,1.0,0,Kanji
281,254.97,結果,Hasil,2,1.0,0,Kanji
282,254.9,買う,Aku akan membelinya.,2,0.5,0,Kanji
283,253.91,度,Derajat,1,1.0,0,Kanji
284,253.66,％,%,1,0.0,0,Non-Kanji
285,252.95,しか,Hanya itu yang kupunya.,2,0.0,0,Non-Kanji
286,250.53,違う,Tidak.,2,0.5,0,Kanji
287,250.2,映画,Film,2,1.0,0,Kanji
288,249.95,／,/,1,0.0,0,Non-Kanji
289,249.49,先生,Dokter.,2,1.0,0,Kanji
290,248.26,生活,Life,2,1.0,0,Kanji
291,248.1,にる,Menekan,2,0.0,0,Non-Kanji
292,247.4,金,Uang.,1,1.0,0,Kanji
293,244.07,＝,=,1,0.0,0,Non-Kanji
294,243.86,時代,Waktu,2,1.0,0,Kanji
295,243.73,政府,Pemerintah,2,1.0,0,Kanji
296,243.43,非常,"Oh, Tuhan.",2,1.0,0,Kanji
297,242.38,得る,Ambil.,2,0.5,0,Kanji
298,241.47,御,Hei.,1,1.0,0,Kanji
299,241.29,＞,Maafkan aku.,1,0.0,0,Non-Kanji
300,240.17,店,Ini toko.,1,1.0,0,Kanji
301,238.49,くらい,Berapa banyak?,3,0.0,1,Non-Kanji
302,238.11,まだ,Belum.,2,0.0,0,Non-Kanji
303,237.28,において,Ngomong-ngomong.,4,0.0,1,Non-Kanji
304,236.88,内容,Isi,2,1.0,0,Kanji
305,236.87,^,^,1,0.0,0,Non-Kanji
306,235.68,一つ,Satu.,2,0.5,0,Kanji
307,234.72,心,Jantung.,1,1.0,0,Kanji
308,234.25,――,"- Oh, Tuhan.",2,0.0,0,Non-Kanji
309,232.04,説明,Deskripsi,2,1.0,0,Kanji
310,229.48,写真,Foto,2,1.0,0,Kanji
311,228.05,ただ,Aku hanya...,2,0.0,0,Non-Kanji
312,226.71,サイト,Situs web,3,0.0,1,Non-Kanji
313,226.58,教育,Pendidikan,2,1.0,0,Kanji
314,226.45,女性,Wanita.,2,1.0,0,Kanji
315,226.31,子供,Anak,2,1.0,0,Kanji
316,225.14,方法,Metode,2,1.0,0,Kanji
317,224.28,に対して,Kurasa tidak.,4,0.25,1,Kanji
318,222.91,＊,*,1,0.0,0,Non-Kanji
319,222.41,大きい,Ini besar.,3,0.3333333333333333,0,Kanji
320,222.4,あるいは,Atau...,4,0.0,1,Non-Kanji
321,221.21,名,Nama,1,1.0,0,Kanji
322,220.74,利用,Gunakan,2,1.0,0,Kanji
323,219.77,さらに,Dan banyak lagi.,3,0.0,1,Non-Kanji
324,217.76,少し,Sedikit.,2,0.5,0,Kanji
325,216.88,紹介,Saya ingin memperkenalkan Anda.,2,1.0,0,Kanji
326,215.72,技術,Technologies,2,1.0,0,Kanji
327,214.35,いろいろ,Banyak hal.,4,0.0,1,Non-Kanji
328,214.08,なんて,"Oh, Tuhan.",3,0.0,1,Non-Kanji
329,212.05,名前,Nama,2,1.0,0,Kanji
330,211.93,参加,Berpartisipasi,2,1.0,0,Kanji
331,210.77,らしい,Kurasa begitu.,3,0.0,1,Non-Kanji
332,210.53,分かる,Aku tahu.,3,0.3333333333333333,0,Kanji
333,210.02,大きな,Besar.,3,0.3333333333333333,0,Kanji
334,209.23,食べる,Makan.,3,0.3333333333333333,0,Kanji
335,209.06,感じ,Rasakan.,2,0.5,0,Kanji
336,207.54,やはり,Kurasa tidak.,3,0.0,1,Non-Kanji
