rank,frequency,lemma,indonesia
1,41309.5,の,.
2,23509.54,に,!
3,22216.8,は,Huh.
4,20431.93,て,.
5,20326.59,を,Mm-hmm.
6,20110.69,が,!
7,19235.55,だ,Itu saja.
8,17292.36,た,Mm-hmm.
9,16841.17,する,Pasti.
10,15095.29,と,Dan...
11,9604.49,ます,.
12,9537.75,で,Jadi...
13,8189.0,ない,Tidak.
14,8140.22,いる,Ya.
15,7900.34,も,Tidak.
16,6766.19,ある,Ya.
17,6001.95,・,.
18,5780.62,です,Itu saja.
19,5690.07,「,""""
20,5672.68,」,Satu.
21,5451.05,こと,"Oh, Tuhan."
22,5444.29,e,e
23,4744.78,か,"Oh, Tuhan."
24,4590.55,o,O.
25,4553.18,a,Pilih jalan ke jalan.
26,4248.5,t,t
27,4193.98,なる,Ya.
28,4188.45,れる,Aku sudah selesai.
29,4055.86,から,Dari
30,3689.19,）,)
31,3652.9,（,(
32,3430.63,i,i
33,3375.51,n,t
34,2968.67,r,r
35,2834.08,s,s
36,2702.29,ん,Hmm.
37,2691.51,よう,Hei.
38,2496.04,いう,Apa?
39,2463.71,う,Mm-hmm.
40,2415.25,人,Orang-orang.
41,2275.62,m,m
42,2255.67,この,Lihat ini.
43,2190.45,という,Apa maksudmu?
44,2131.88,思う,Kurasa.
45,2127.42,その,Um...
46,2108.52,l,Aku...
47,2057.33,的,. . .
48,1984.31,c,c
49,1950.65,年,Tahun
50,1942.04,日,Hari
51,1923.23,！,!
52,1806.37,h,j
53,1769.37,私,Aku.
54,1757.94,もの,Apa itu?
55,1734.3,や,Hei.
56,1732.41,ば,. . .
57,1641.84,d,d
58,1516.78,？,!
59,1515.66,p,p
60,1479.29,それ,Itu saja.
61,1459.64,u,Jadi mari kita lakukan itu.
62,1451.45,者,Siapa?
63,1437.45,できる,"Ya, kau bisa."
64,1428.85,これ,Ini.
65,1399.05,#,#
66,1362.46,|,Aku tidak tahu.
67,1263.36,言う,Aku akan memberitahu Anda.
68,1248.2,b,b
69,1245.81,S,S
70,1245.62,y,y
71,1238.3,くる,Dia datang.
72,1193.14,月,Bulan
73,1187.18,C,C
74,1186.32,として,Mari kita lakukan.
75,1174.8,さん,Hei.
76,1164.49,T,T.
77,1159.85,A,A
78,1149.99,：,:
79,1136.97,まで,Untuk
80,1126.11,たい,"Oh, Tuhan."
81,1112.01,g,g
82,1110.21,w,w
83,1100.39,など,Aku tidak tahu.
84,1092.65,k,k
85,1089.02,中,Tengah
86,1087.64,P,P
87,1077.28,られる,Aku akan ke sana.
88,1070.51,お,Oh.
89,1022.92,ね,Hei.
90,1022.88,，,","
91,1015.61,…,...
92,1000.99,へ,Hei.
93,982.69,見る,Lihat.
94,980.59,ため,Ini untukmu.
95,963.62,てる,Ya.
96,948.8,M,M
97,940.51,そう,Ya.
